Model,Brand,Price,RAM,ROM,Battery Capacity,Screen Size(Inch),SIM Type,System On Chip,Number Of Rear Cameras,Rear Camera(In Mega Pixel),Front Camera,Operating System,Rating
Redmi Note 7 Pro,Xiaomi,"13,999",4,64,4000,6.3,Dual Sim,Snapdragon 675,2,48,13,Android v9.0 (Pie),4.6
Redmi Note 7 Pro,Xiaomi,"16,999",6,128,4000,6.3,Dual Sim,Snapdragon 675,2,48,13,Android v9.0 (Pie),4.6
Redmi Note 7S,Xiaomi,"10,999",3,32,4000,6.3,Dual Sim,Snapdragon 660,2,48,13,Android v9.0 (Pie),4.6
Redmi Note 7S,Xiaomi,"12,999",4,64,4000,6.3,Dual Sim,Snapdragon 660,2,48,13,Android v9.0 (Pie),4.5
Redmi Note 7,Xiaomi,"9,999",3,32,4000,6.3,Dual Sim,Snapdragon 660,2,12,13,Android v9.0 (Pie),4.5
Redmi Note 7,Xiaomi,"11,999",4,64,4000,6.3,Dual Sim,Snapdragon 660,2,12,13,Android v9.0 (Pie),4.5
Redmi Y3,Xiaomi,"10,999",3,32,4000,6.26,Dual Sim,Snapdragon 632,2,12,32,Android v9.0 (Pie),4.3
Redmi Y3,Xiaomi,"13,290",4,64,4000,6.26,Dual Sim,Snapdragon 632,2,12,32,Android v9.0 (Pie),4
Redmi 7,Xiaomi,"7,999",2,32,4000,6.26,Dual Sim,Snapdragon 632,2,12,8,Android v9.0 (Pie),4.1
Redmi 7,Xiaomi,"8,999",3,32,4000,6.26,Dual Sim,Snapdragon 632,2,12,8,Android v9.0 (Pie),4.1
Redmi Note 6 Pro,Xiaomi,"11,999",4,64,4000,6.26,Dual Sim,Snapdragon 636,2,12,20,Android v8.1 (Oreo),4.5
Redmi Note 6 Pro,Xiaomi,"13,999",6,64,4000,6.26,Dual Sim,Snapdragon 636,2,12,20,Android v8.1 (Oreo),4.5
Redmi 6A,Xiaomi,"6,999",2,32,3000,5.45,Dual Sim,MediaTek Helio A22,1,13,5,Android v8.1 (Oreo),4.3
Redmi 6A,Xiaomi,"6,499",2,16,3000,5.45,Dual Sim,MediaTek Helio A22,1,13,5,Android v8.1 (Oreo),4.3
Black Shark 2,Xiaomi,"49,999",12,256,4000,6.39,Dual Sim,Snapdragon 855,2,48,20,Android v9.0 (Pie),NA
Black Shark 2,Xiaomi,"39,999",6,128,4000,6.39,Dual Sim,Snapdragon 855,2,48,20,Android v9.0 (Pie),NA
Redmi Go,Xiaomi,"4,799",1,16,3000,5,Dual Sim,Snapdragon 425,1,8,5,Android v8.1 (Oreo),4.3
Redmi Go,Xiaomi,"4,799",1,8,3000,5,Dual Sim,Snapdragon 425,1,8,5,Android v8.1 (Oreo),4.3
Mi A2,Xiaomi,"15,999",6,128,3010,5.99,Dual Sim,Snapdragon 660,2,20,20,Android v9.0 (Pie),4.2
Mi A2,Xiaomi,"11,999",4,64,3010,5.99,Dual Sim,Snapdragon 660,2,20,20,Android v9.0 (Pie),4.2
Redmi 6 Pro,Xiaomi,"10,800",4,64,4000,5.84,Dual Sim,Snapdragon 625,2,12,5,Android v9.0 (Pie),4.3
Redmi 6 Pro,Xiaomi,"9,899",3,32,4000,5.84,Dual Sim,Snapdragon 625,2,12,5,Android v9.0 (Pie),4.3
Redmi 6,Xiaomi,"8,499",3,64,3000,5.45,Dual Sim,MediaTek Helio P22,2,12,5,Android v9.0 (Pie),4.4
Redmi 6,Xiaomi,"7,999",3,32,3000,5.45,Dual Sim,MediaTek Helio P22,2,12,5,Android v9.0 (Pie),4.4
Redmi Y2,Xiaomi,"8,999",3,32,3080,5.99,Dual Sim,Snapdragon 625,2,12,16,Android v8.1 (Oreo),4.5
Redmi Y2,Xiaomi,"10,999",4,64,3080,5.99,Dual Sim,Snapdragon 625,2,12,16,Android v8.1 (Oreo),4.4
Galaxy A50,Samsung,"18,490",4,64,4000,6.4,Dual Sim,Exynos 9610 Processor,3,25,25,Android v9.0 (Pie),4.4
Galaxy A50,Samsung,"21,490",6,64,4000,6.4,Dual Sim,Exynos 9610 Processor,3,25,25,Android v9.0 (Pie),4.4
Galaxy M30,Samsung,"14,990",4,64,5000,6.4,Dual Sim,Exynos 7904,3,13,16,Android Oreo v8.1,4
Galaxy M30,Samsung,"17,990",6,128,5000,6.4,Dual Sim,Exynos 7904,3,13,16,Android Oreo v8.1,4
Galaxy M20,Samsung,"9,990",3,32,5000,6.3,Dual Sim,Exynos 7904,2,13,8,Android Oreo v8.1,3.9
Galaxy M20,Samsung,"11,990",4,64,5000,6.3,Dual Sim,Exynos 7904,2,13,8,Android Oreo v8.1,3.9
Galaxy A70,Samsung,"28,990",6,128,4500,6.7,Dual Sim,Snapdragon 675,3,32,32,Android v9.0 (Pie),4.4
Galaxy A30,Samsung,"15,490",4,64,4000,6.4,Dual Sim,Exynos 7904,2,16,16,Android v9.0 (Pie),4.4
Galaxy A20,Samsung,"11,490",3,32,4000,6.4,Dual Sim,Exynos 7884B,2,13,8,Android v9.0 (Pie),4.3
Galaxy A10,Samsung,"7,990",2,32,3400,6.2,Dual Sim,Exynos 7884,1,13,5,Android v9.0 (Pie),4.3
Galaxy A7,Samsung,"15,990",4,64,3300,6,Dual Sim,Exynos 7885,3,24,24,Android v9.0 (Pie),4.4
Galaxy A7,Samsung,"19,990",6,128,3300,6,Dual Sim,Exynos 7885,3,24,24,Android v9.0 (Pie),4.4
Galaxy S10 Plus,Samsung,"1,17,900",12,1024,4100,6.4,Dual Sim,Exynos 9820,2,16,10,Android v9.0 (Pie),4
Galaxy S10 Plus,Samsung,"91,900",8,512,4100,6.4,Dual Sim,Exynos 9820,2,16,10,Android v9.0 (Pie),4.6
Galaxy S10 Plus,Samsung,"73,900",8,128,4100,6.4,Dual Sim,Exynos 9820,2,16,10,Android v9.0 (Pie),4.6
Galaxy S10 Plus e,Samsung,"50,900",6,128,3100,5.8,Dual Sim,Exynos 9820,2,16,10,Android v9.0 (Pie),3.9
Galaxy M10,Samsung,"8,990",3,32,3400,6.22,Dual Sim,Exynos 7870,2,13,5,Android Oreo v8.1,4.2
Galaxy M10,Samsung,"7,990",2,16,3400,6.22,Dual Sim,Exynos 7870,2,13,5,Android Oreo v8.1,4
Galaxy A2 Core,Samsung,"5,290",1,16,2600,5,Dual Sim,Exynos 7870,1,5,5,Android v9.0 (Pie),4.2
Galaxy J8 2018,Samsung,"12,494",4,64,3500,6,Dual Sim,Snapdragon 450,2,16,16,Android v8.0 (Oreo),4.4
Galaxy A9 2018,Samsung,"29,990",6,128,3800,6.3,Dual Sim,Snapdragon 660,4,24,24,Android v8.0 (Oreo),4.4
Galaxy A9 2018,Samsung,"32,750",8,128,3800,6.3,Dual Sim,Snapdragon 660,4,24,24,Android v8.0 (Oreo),4.3
Galaxy J6 Plus,Samsung,"12,990",4,64,3300,6,Dual Sim,Snapdragon 425,2,13,8,Android Oreo v8.1,4.3
Galaxy A8 Star,Samsung,"19,690",6,64,3700,6.3,Dual Sim,Snapdragon 660,2,24,24,Android v8.0 (Oreo),4.4
Galaxy J4 Plus,Samsung,"13,000",2,32,3300,6,Dual Sim,Snapdragon 425,1,13,5,Android Oreo v8.1,4.3
Galaxy J2 Core,Samsung,"5,490",1,8,2600,5,Dual Sim,Exynos 7570,1,8,5,Android Oreo v8.1,4.2
Galaxy Note 9,Samsung,"77,900",8,512,4000,6.4,Dual Sim,Snapdragon 845,2,12,8,Android Oreo v8.1,4.7
Galaxy Note 9,Samsung,"67,900",6,128,4000,6.4,Dual Sim,Snapdragon 845,2,12,8,Android Oreo v8.1,4.6
Galaxy On8,Samsung,"16,990",4,64,3500,6,Dual Sim,Snapdragon 450,2,16,16,Android Oreo v8.0,4.4
Galaxy J4,Samsung,"8,490",2,32,3300,6,Dual Sim,Snapdragon 425,1,13,5,Android Oreo v8.0,4.3
Galaxy J4,Samsung,"8,745",2,16,3000,5.5,Dual Sim,Exynos 7570,1,13,5,Android Oreo v8.0,4.3
Galaxy On6,Samsung,"11,990",4,64,3000,5.6,Dual Sim,Exynos 7870,1,13,8,Android Oreo v8.0,4.3
Realme 3 Pro ,Realme,"15,999",6,64,4045,6.3,Dual Sim,Snapdragon 710,2,16,25,Android v9.0 (Pie),4.5
Realme 3 Pro ,Realme,"16,999",6,128,4045,6.3,Dual Sim,Snapdragon 710,2,16,25,Android v9.0 (Pie),4.5
Realme 3,Realme,"10,999",4,64,4230,6.22,Dual Sim,MediaTek Helio P70,2,13,13,Android v9.0 (Pie),4.5
Realme 3,Realme,"9,999",3,64,4230,6.22,Dual Sim,MediaTek Helio P70,2,13,13,Android v9.0 (Pie),4.5
Realme 3,Realme,"8,999",3,32,4230,6.22,Dual Sim,MediaTek Helio P70,2,13,13,Android v9.0 (Pie),4.5
Realme 2 Pro,Realme,"12,990",6,64,3500,6.3,Dual Sim,Snapdragon 660,2,16,16,Android v8.1 (Oreo),4.5
Realme 2 Pro,Realme,"10,990",4,64,3500,6.3,Dual Sim,Snapdragon 660,2,16,16,Android v8.1 (Oreo),4.5
Realme 2 Pro,Realme,"14,990",8,128,3500,6.3,Dual Sim,Snapdragon 660,2,16,16,Android v8.1 (Oreo),4.5
Realme U1,Realme,"10,390",3,32,3500,6.3,Dual Sim,MediaTek Helio P70,2,13,25,Android v8.1 (Oreo),4.4
Realme U1,Realme,"12,995",4,64,3500,6.3,Dual Sim,MediaTek Helio P70,2,13,25,Android v8.1 (Oreo),4.4
Realme U1,Realme,"10,990",3,64,3500,6.3,Dual Sim,MediaTek Helio P70,2,13,25,Android v8.1 (Oreo),4.4
Realme C1,Realme,"7,499",2,32,4230,6.2,Dual Sim,Snapdragon 450,2,13,5,Android v8.1 (Oreo),4.4
Realme C1,Realme,"9,499",3,32,4230,6.2,Dual Sim,Snapdragon 450,2,13,5,Android v8.1 (Oreo),4.4
Realme C1,Realme,"6,999",2,16,4230,6.2,Dual Sim,Snapdragon 450,2,13,5,Android v8.1 (Oreo),4.4
Realme 2,Realme,"10,590",3,32,4230,6.2,Dual Sim,Snapdragon 450,2,13,8,Android v8.1 (Oreo),4.5
Realme 2,Realme,"10,990",4,64,4230,6.2,Dual Sim,Snapdragon 450,2,13,8,Android v8.1 (Oreo),4.5
V15 Pro,Vivo,"26,990",6,128,3700,6.39,Dual Sim,Snapdragon 675,3,48,32,Android v9.0 (Pie),4.5
V15 Pro,Vivo,"29,990",8,128,3700,6.39,Dual Sim,Snapdragon 675,3,48,32,Android v9.0 (Pie),4.5
Vivo Y17,Vivo,"15,990",4,128,5000,6.35,Dual Sim,MediaTek Helio P35 ,2,13,20,Android v9.0 (Pie),4.3
Vivo V15,Vivo,"19,990",6,64,4000,6.53,Dual Sim,MediaTek Helio P70,3,12,32,Android v9.0 (Pie),4.4
Vivo Y91,Vivo,"8,990",2,32,4030,6.22,Dual Sim,Snapdragon 439,2,13,8,Android v8.1 (Oreo),4.5
Vivo Y91,Vivo,"9,990",3,32,4030,6.22,Dual Sim,Snapdragon 439,2,13,8,Android v8.1 (Oreo),4.5
Vivo Y95,Vivo,"13,999",4,64,4030,6.22,Dual Sim,Snapdragon 439,2,13,20,Android v8.1 (Oreo),4.4
